,level_0,index,AGENCY_ID,AGENCY_NAME,AGENCY_AKA_KEYWORDS,AGENCY_DESCR,AGENCY_HRS,AGENCY_TXT_HRS,AGENCY_WEB_URL,AGENCY_FB_URL,AGENCY_TW_URL,AGENCY_PHONE,AGENCY_PHONE_NOTE
2656,2656,2657,2856,Monroe County Commissioners,,Serves as the executive and administrative authority for Monroe County.,"{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.co.monroe.in.us,,,812-349-2550,
2657,2657,2658,2857,Ellettsville Fire Department,,Provides emergency fire services for the town of Ellettsville and Richland Township in Monroe County.,"{""open"":{""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,,,,812-876-4819,
2658,2658,2659,2858,Calvary Baptist Church,Calvery Baptist Church,A church offering worship services and community outreach including a clothing pantry.,,"Mon, Tues, Wed 9am-noon",www.calvaryindpls.com,,,317-894-4260,
2659,2659,2660,2859,Purdue Extension - Montgomery County,"Montgomery County Cooperative Extension Office, Montgomery County Extension Office","A local cooperative extension service, providing research-based information and programming for youth, families, and the community.","{""open"":{""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,www.extension.purdue.edu/montgomery,,,765-364-6363,
2660,2660,2661,2860,Internal Revenue Service - Indiana,"Federal Building, IRS",The Indiana office of the United States federal tax collection agency.,"{""open"":{""Friday"":[[[8,30],[16,30]]],""Thursday"":[[[8,30],[16,30]]],""Wednesday"":[[[8,30],[16,30]]],""Tuesday"":[[[8,30],[16,30]]],""Monday"":[[[8,30],[16,30]]]},""closed"":[]}",Mon-Fri 8:30am-4:30pm,www.irs.gov,,,800-829-1040,
2661,2661,2662,2861,Family Development Services - Head Start,,"A nonprofit organization providing Head Start and Early Head Start programs. Head Start programs support the mental, social, and emotional development of children from birth to age 5.","{""open"":{""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,www.fds.org,,,317-803-3803,
2662,2662,2663,2862,Ellettsville Police Department,,"Provides law enforcement, crime investigation, crime prevention, emergency assistance, and other police duties for the town of Ellettsville in Monroe County.",,Mon-Fri 9am-noon and 1pm-5pm,www.ellettsvillepolice.com,,,812-876-2270,
2663,2663,2664,2863,Bloomington - City of,,Provides governance and municipal services for the city of Bloomington in Monroe County.,"{""open"":{""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,www.bloomington.in.gov,,,812-349-3400,City Hall
2664,2664,2665,2864,Families First,"Breaking Free, Family Services","A nonprofit agency with a mission ""to create healthier communities by strengthening families and individuals during life challenges and changes.""","{""open"":{""Friday"":[[[8,30],[17,0]]],""Thursday"":[[[8,30],[20,0]]],""Wednesday"":[[[8,30],[20,0]]],""Tuesday"":[[[8,30],[20,0]]],""Monday"":[[[8,30],[20,0]]]},""closed"":[]}",Mon-Thurs 8:30am-8pm; Fri 8:30am-5pm,www.familiesfirstindiana.org,,,317-634-6341,
2665,2665,2666,2865,Saint John The Evangelist,"Parish 26, St. John The Evangelist",A parish within the Archdiocese of Indianapolis and community outreach including a sack lunch program.,"{""open"":{""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[19,0]]],""Wednesday"":[[[9,0],[19,0]]],""Tuesday"":[[[9,0],[19,0]]],""Monday"":[[[9,0],[19,0]]]},""closed"":[]}",Mon-Thurs 9am-7pm; Fri 9am-5pm,www.stjohnsindy.com,www.facebook.com/stjohnsindy,,317-635-2021,
2666,2666,2667,2866,Saints Peter and Paul Cathedral,"Parish 1, Ss. Peter and Paul Cathedral",A church providing outreach services including meals open to the public.,"{""open"":{""Thursday"":[[[8,30],[17,30]]],""Wednesday"":[[[8,30],[17,30]]],""Tuesday"":[[[8,30],[17,30]]],""Monday"":[[[8,30],[17,30]]],""Friday"":[[[8,30],[17,30]]]},""closed"":[]}",Mon-Fri 8:30am-5:30pm,www.ssppc.org,,,317-634-4519,
2667,2667,2668,2867,Faith - Hope And Love Community  `,"Faith Hope And Love, Faith, Hope, And Love, Fhl Community","A faith-based, nonprofit agency with a mission ""to connect volunteers and resources with love and service to meet social, economic, and spiritual needs in order to bring hope to our communities.""","{""open"":{""Tuesday"":[[[9,0],[17,0]]],""Monday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]],""Wednesday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Fri 9am-5pm,www.fhlcommunity.org,,,317-572-5793,
2668,2668,2669,2868,Monroe County Highway Department,Highway Department,Provides maintenance services on public roads and streets.,"{""open"":{""Monday"":[[[6,0],[16,0]]],""Tuesday"":[[[6,0],[16,0]]],""Wednesday"":[[[6,0],[16,0]]],""Thursday"":[[[6,0],[16,0]]],""Friday"":[[[6,0],[16,0]]]},""closed"":[]}",Mon-Fri 6am-4pm,www.co.monroe.in.us,,,812-825-5355,
2669,2669,2670,2869,Monroe County Building Department,,Issues construction and development permits and handles building code enforecement for Monroe County. Conducts building inspections for areas of Monroe County outside of Bloomington city limits.,"{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.co.monroe.in.us,,,812-349-2580,
2670,2670,2671,2870,Monroe County Plan Commission,"Monroe County Planning Commission, Monroe County Planning Department","Oversees housing and commercial development; regulates and enforces the city's zoning ordinances; and handles zoning requests, complaints, and appeals.","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.co.monroe.in.us,,,812-349-2560,
2671,2671,2672,2871,Peru - City of,"City Of Peru, Peru City Hall",Provides governance and municipal services for the city of Peru.,"{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[12,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}","Mon, Tues, Thurs, and Fri 8am-4pm; Wed 8am-noon",www.cityofperu.org,,,765-472-2400,
2672,2672,2673,2872,Intecare,"Inte Care, Intecare, Intercare",A nonprofit behavioral health management corporation and behavioral health service network.,"{""open"":{""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,www.intecare.org,,,317-237-5770,
2673,2673,2674,2873,Miami County YMCA,Miami County YMCA Transit,"A nonprofit organization offering various social, recreational, and wellness programs, including transportation to residents.","{""open"":{""Monday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Friday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.mcymca.org,https://www.facebook.com/Miami-CountyPeru-YMCA-114220108600691/?ref=bookmarks,,765-472-1979,
2674,2674,2675,2874,Indianapolis Department of Business And Neighborhood Services,Code Compliance,"An Indianapolis city government department with a mission to ""improve the quality of life in the City of Indianapolis through strategic application of civil code regulation; effective licensing, permitting, inspection, enforcement, and abatement practices; and local government oversight of property use/safety and maintenance, business, event, professional, and construction industries.""","{""open"":{""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,www.indy.gov/eGov/City/DCE,,,317-327-8700,Office
2675,2675,2676,2876,Maconaquah School Corporation,,"Administers the elementary, middle, and high schools within the district.","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.maconaquah.k12.in.us,,,765-689-9131,
2676,2676,2677,2877,Teenworks,Teen Works,Provides a summer employment program and offers college readiness programs and supportive services throughout the school year for teens in the Indianapolis or Muncie area.,"{""open"":{""Monday"":[[[9,0],[16,0]]],""Friday"":[[[9,0],[16,0]]],""Thursday"":[[[9,0],[16,0]]],""Wednesday"":[[[9,0],[16,0]]],""Tuesday"":[[[9,0],[16,0]]]},""closed"":[]}",Mon-Fri 9am-4pm,www.teenworks.org,,,317-916-7858,
2677,2677,2678,2878,Indiana Black Breastfeeding Coalition,,A nonprofit agency that promotes breastfeeding with a special focus on the African-American community.,,Vary,www.indianablackbreastfeedingcoalition.com,,,317-434-4930,Voicemail
2678,2678,2679,2879,USO of Indiana,"Tyndall Armory, United Service Organizations, Uso",A nonprofit organization that provides services to uniformed men and women within the state of Indiana.,"{""open"":{""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,www.uso.org/indiana,,,317-771-2788,
2679,2679,2680,2880,Wayne Township Metropolitan School District,"Area 31 Career Center, Ben Davis University High School","Administers the elementary, middle, and high schools within the district.","{""open"":{""Monday"":[[[7,30],[16,30]]],""Friday"":[[[7,30],[16,30]]],""Thursday"":[[[7,30],[16,30]]],""Wednesday"":[[[7,30],[16,30]]],""Tuesday"":[[[7,30],[16,30]]]},""closed"":[]}",Mon-Fri 7:30am-4:30pm,www.wayne.K12.in.us,,,317-988-8600,
2680,2680,2681,2882,Saint Luke Missionary Baptist Church,Saint Luke Divine Ministry,"A church with worship services and charitable outreach, including a food pantry.","{""open"":{""Monday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Friday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.stlukeindy.org/,,,317-543-9505,
2681,2681,2682,2883,Miami County Commissioners,,Serves as the executive and administrative authority for Miami County.,"{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.miamicountyin.gov,,,765-472-3901,County Auditor
2682,2682,2683,2884,Miami County Animal Shelter,,"Enforces animal-related ordinances, responds to animal-related emergencies, impounds stray domestic animals, and accepts surrendered animals from the public. Provides lost-and-found services, microchipping of pets, humane euthanasia for terminally ill pets, and adoption for homeless dogs and cats.","{""open"":{""Monday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Friday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,,,,260-330-0730,
2683,2683,2684,2885,Miami County Sheriff,,Provides law enforcement services and maintains the correctional facility.,"{""open"":{""Friday"":[[[8,0],[12,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Thurs 8am-4pm; Fri 8am-noon,www.miamicountyin.gov,,,765-472-1322,
2684,2684,2685,2886,Alexandria Community Center,,A nonprofit agency providing social and recreational programs for persons living in the city of Alexandria and surrounding towns in Madison County.,"{""open"":{""Monday"":[[[8,30],[15,30]]],""Tuesday"":[[[8,30],[15,30]]],""Wednesday"":[[[8,30],[15,30]]],""Thursday"":[[[8,30],[15,30]]],""Friday"":[[[8,30],[15,30]]]},""closed"":[]}",Mon-Fri 8:30am-3:30pm,www.alexandriacommunitycenter.org,,,765-724-7728,
2685,2685,2686,2887,Indiana Secretary of State,"Business Services Division, Dealer Services Division, Securities Division","The office of the Indiana Secretary of State is responsible for chartering of new businesses, regulation of the securities industry, oversight of state elections, commissioning of notaries public, registration of trademarks and licensing of vehicle dealerships throughout Indiana.","{""open"":{""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,www.sos.in.gov,,,317-232-6531,
2686,2686,2687,2889,White River State Park,"Dr. Frank P. Lloyd, Sr. Visitors Center, Frank Lloyd Visitors Center, Frank Lloyd Visitor's Center, Frank Lloyd Visitors' Center, White River State Park Visitor's Center, Whiteriver State Park",A public recreation and arts destination created by the Indiana General Assembly and operated by the White River State Park Development Commission.,"{""open"":{""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]],""Wednesday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Monday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Fri 9am-5pm,www.inwhiteriver.com,,,317-233-2434,
2687,2687,2688,2890,Montgomery County Visitors and Convention Bureau,Montgomery County Visitors Center,Provides information for the city of Crawfordsville and Montgomery County special events and travel.,"{""open"":{""Friday"":[[[9,0],[16,30]]],""Thursday"":[[[9,0],[16,30]]],""Wednesday"":[[[9,0],[16,30]]],""Tuesday"":[[[9,0],[16,30]]],""Monday"":[[[9,0],[16,30]]]},""closed"":[]}",Mon-Fri 9am-4:30pm,www.visitmoco.com,,,765-362-5200,
2688,2688,2689,2891,Johnson County Community Meals,Joco Community Meals,A coalition of churches and community volunteers with a mission to provide a free meal each weekday in Johnson County.,,,,,,,
2689,2689,2690,2893,Converse Church of Christ,Converse Church Of Christ,"A church offering worship services and charitable outreach programs, including a food pantry.","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.conversechurch.org,,,765-395-3361,
2690,2690,2691,2894,Madison County Voter Registration,Madison County Voter Registration,Oversees all voter registration and maintains voter filings.,"{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.madisoncty.com,,,765-641-9657,
2691,2691,2692,2895,New Revelations Christian Church,,"A church with worship services and charitable outreach, including a food pantry.","{""open"":{""Monday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]],""Wednesday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Fri 9am-5pm,www.newrevelationcc.com,,,317-823-7222,
2692,2692,2693,2896,United Way of Miami County,Miami County United Way,"A nonprofit agency that partners with local human service organizations, businesses, and government agencies to support and strengthen the community.","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.uwmiamip.org,www.facebook.com/unitedwaymiamicounty?ref,http://twitter.com/#!/UWMiamiP,765-473-4240,
2693,2693,2694,2897,Miami County Court Appointed Special Advocates,"Miami County CASA, Miami County Court Appointed Special Advocates, Miami County GAL, Miami County Guardian Ad Litem","Court appointed special advocate/guardian ad litem program for children involved in court cases due to neglect or abuse or because their parents are involved in divorce, guardianship, custody or visitation disputes.","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.miamicountyin.gov,,,765-472-3901,x 1310
2694,2694,2695,2898,Starfish Initiative,,"A nonprofit agency with a mission to ""inspire, encourage, and prepare promising, economically disadvantaged students for college and career success. To achieve this goal, Starfish pairs economically disadvantaged high school students one-on-one with college-educated menotors.""","{""open"":{""Friday"":[[[8,30],[16,30]]],""Thursday"":[[[8,30],[16,30]]],""Wednesday"":[[[8,30],[16,30]]],""Tuesday"":[[[8,30],[16,30]]],""Monday"":[[[8,30],[16,30]]]},""closed"":[]}",Mon-Fri 8:30am-4:30pm,www.starfishinitiative.org,,,317-955-7912,
2695,2695,2696,2899,Airman And Family Readiness Center,"Garb, Grissom Air Reserve Base","Provides a variety of assistance programs for all branches of active-duty service members, veterans, and their families.","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,,,,765-688-4812,
2696,2696,2697,2900,Christ Lutheran Church,,"A church with worship services and community outreach programs, including a baby supply pantry.","{""open"":{""Friday"":[[[9,30],[15,30]]],""Thursday"":[[[9,30],[15,30]]],""Wednesday"":[[[9,30],[15,30]]],""Tuesday"":[[[9,30],[15,30]]],""Monday"":[[[9,30],[15,30]]]},""closed"":[]}",Mon-Fri 9:30am-3:30pm,www.christlutherananderson.org,,,765-642-2154,
2697,2697,2698,2901,La Porte County Plan Commission/ Board of Zoning,,"Oversees housing and commercial development; regulates and enforces the city's zoning ordinances; and handles zoning requests, complalints, and appeals.","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.laportecounty.org/BoardsCommissions/PlanCommission,,,219-326-6808,x 2221
2698,2698,2699,2902,Harvesting Capabilities,Handicapable,"A nonprofit organization focused on helping people with disabilities and the elderly in Miami County by providing aluminum ramps and adaptive medical equipment to those who cannot afford them, and provides a discount medical equipment and thrift store.","{""open"":{""Friday"":[[[10,0],[16,0]]],""Thursday"":[[[10,0],[16,0]]],""Wednesday"":[[[10,0],[16,0]]],""Tuesday"":[[[10,0],[16,0]]]},""closed"":[]}",Tues-Fri 10am-4pm,www.harvestingcapabilities.org,,,765-472-1902,
2699,2699,2700,2903,Roberts Park United Methodist Church,"Roberts Park UMC, Robert's Park UMC, Robert's Park United Methodist Church","A church with worship services and community outreach, including a weekly meal.","{""open"":{""Wednesday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Monday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Fri 9am-5pm,www.robertsparkumc.org,,,317-635-1636,
2700,2700,2701,2904,Anderson University,,"A regionally accredited, private Christian university in Anderson, Indiana.","{""open"":{""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,,,,800-428-6414,
2701,2701,2702,2905,South Side Landfill,Southside Landfill,"A commercial Subtitle D, (non-hazardous) municipal solid waste disposal facility located in the city of Indianapolis.",,Mon-Fri 5am-midnight; Sat 5am-5pm,www.ssidelandfill.com,,,317-247-6808,
2702,2702,2703,2906,First Free Methodist Church,1St Free Methodist Church,"A church with worship services and charitable outreach, including a food pantry.","{""open"":{""Thursday"":[[[9,0],[17,0]]],""Wednesday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Monday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Thurs 9am-5pm,www.indyfirst.org,,,317-638-2628,
2703,2703,2704,2907,Knox County Assessor,"Knox County Assessors Office, Knox County Assessor's Office","Government agency that locates, identifies, and appraises all taxable property in Knox County.","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.knoxcounty.in.gov,,,812-885-2513,
2704,2704,2705,2908,Jay County Prosecutor's Office,"Jay County Prosecutor, Jay County Prosecutors Office","Represents the state of Indiana in felony and misdemeanor criminal prosecutions, conducts criminal investigations, supervises Grand Jury proceedings, enforces child support orders, conducts juvenile adjudication and prosecution, enforces traffic violations, and provides information and assistance to victims of crime.","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,www.jaycountyprosecutor.com,,,260-726-6980,
2705,2705,2706,2909,Vineyard Life Church,,A church offering outreach to the community including a food and clothing pantry.,,Vary,www.vlindy.com,,,317-222-5510,
2706,2706,2707,2910,Jay County Commissioners,,Serves as the executive and administrative authority for Jay County.,"{""open"":{""Friday"":[[[8,30],[16,30]]],""Thursday"":[[[8,30],[16,30]]],""Wednesday"":[[[8,30],[16,30]]],""Tuesday"":[[[8,30],[16,30]]],""Monday"":[[[8,30],[16,30]]]},""closed"":[]}",Mon-Fri 8:30am-4:30pm,www.jaycounty.net,,,260-726-7575,Auditor's Office
2707,2707,2708,2911,South La Porte County Special Education Cooperative,,This cooperative provides school support for the five districts' special education programs in La Porte County.,"{""open"":{""Friday"":[[[7,30],[16,0]]],""Thursday"":[[[7,30],[16,0]]],""Wednesday"":[[[7,30],[16,0]]],""Tuesday"":[[[7,30],[16,0]]],""Monday"":[[[7,30],[16,0]]]},""closed"":[]}",Mon-Fri 7:30am-4pm,www.lpcsc.k12.in.us/special_education,,,219-324-3287,
2708,2708,2709,2912,Jay County Clerk,,"The County Clerk maintains records of all civil and criminal court activities; administers jury draw, child support collections, and voter registration; issues marriage licenses; and records state tax liens in Jay County.","{""open"":{""Thursday"":[[[8,30],[16,30]]],""Wednesday"":[[[8,30],[16,30]]],""Tuesday"":[[[8,30],[16,30]]],""Monday"":[[[8,30],[16,30]]],""Friday"":[[[8,30],[16,30]]]},""closed"":[]}",Mon-Fri 8:30am-4:30pm,www.co.jay.in.us,,,260-726-6915,
2709,2709,2710,2913,Indy EAP,,"A consortium served by United Way of Central Indiana, Connect2Help 211, and the John H.  Boner Neighbrrhood Center accepting applications in Marion County for the Energy Assistance Program.",,,www.indyeap.org,,,,-211
2710,2710,2711,2914,100 Black Men of Indianapolis,,A nonprofit youth development organization that serve youth each year through mentoring-based educational programs.,"{""open"":{""Tuesday"":[[[9,0],[17,0]]],""Monday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]],""Wednesday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Fri 9am-5pm,www.100blackmenindy.org,,,317-921-1276,
2711,2711,2712,2915,Trusted Mentors,,A nonprofit agency that provides training to volunteers and then matches them with adults in need of person-to-person mentoring to develop life skills and positive social networks. Mentees are referred by partnering agencies.,"{""open"":{""Wednesday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Monday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Fri 9am-5pm,www.trustedmentors.org,www.facebook.com/trustedmentorsinc,www.twitter.com/trustedmentors,317-985-5041,
2712,2712,2713,2916,New Prairie United School Corporation,"New Prairie High School, New Prairie Middle School, Olive Township Elementary School, Prairie View Elementary School, Rolling Prairie Elementary School","Administers the elementary, middle, and high schools within the district.","{""open"":{""Monday"":[[[7,0],[16,0]]],""Tuesday"":[[[7,0],[16,0]]],""Wednesday"":[[[7,0],[16,0]]],""Thursday"":[[[7,0],[16,0]]],""Friday"":[[[7,0],[16,0]]]},""closed"":[]}",School Year: Mon-Fri 7am-4pm -- Summer: Mon-Fri 7am-3pm,www.npusc.k12.in.us,,,574-654-7273,
2713,2713,2714,2917,Bourbon First United Methodist Church,"Bfumc, Bourbon Umc, Bourbon United Methodist Church, Helping Hands","A church with worship services and charitable outreach, including a food pantry.","{""open"":{""Thursday"":[[[9,0],[13,0]]],""Wednesday"":[[[9,0],[13,0]]],""Tuesday"":[[[9,0],[13,0]]],""Monday"":[[[9,0],[13,0]]]},""closed"":[]}",Mon-Thurs 9am-1pm,,,,574-527-3116,
2714,2714,2715,2918,Higher Bound - Inc.,,A nonprofit organization that provides faith-based mentoring and tutoring to area middle school students in need.,"{""open"":{""Monday"":[[[9,0],[19,0]]],""Tuesday"":[[[9,0],[19,0]]],""Wednesday"":[[[9,0],[19,0]]],""Thursday"":[[[9,0],[19,0]]],""Friday"":[[[9,0],[19,0]]]},""closed"":[]}",Mon-Fri 9am-7pm,www.higherbound.weebly.com,,,812-890-6279,
2715,2715,2716,2919,Beds And Britches - Etc. of Knox County,B.A.B.E Store,"""Beds And Britches, Etc. is a coupon earning system for families in Knox County. We center on making sure that pregnant women and families do all that is possible to ensure that their children receive the best possible start in life.""Participants must collect B.A.B.E. coupons from area services, and they can then be used at the B.A.B.E. Boutique.",,Mon Noon-4:30pm,,,,812-882-2720,
2716,2716,2717,2920,Another Chance Christ Ministries,,A faith-based nonprofit organization that provides transitional housing and support services to men recovering from substance abuse.,"{""open"":{""Friday"":[[[8,30],[17,0]]],""Thursday"":[[[8,30],[17,0]]],""Wednesday"":[[[8,30],[17,0]]],""Tuesday"":[[[8,30],[17,0]]],""Monday"":[[[8,30],[17,0]]]},""closed"":[]}",Mon-Fri 8:30am-5pm,www.anotherchancechristministries.org,www.facebook.com/accm.vincennes,,812-886-5304,
2717,2717,2718,2921,Monroe - Gregg School District,"Monroe Gregg School District, Monrovia Elementary, Monrovia High School, Monrovia Middle School","Administers the elementary, middle, and high schools within the district.","{""open"":{""Friday"":[[[7,0],[15,30]]],""Thursday"":[[[7,0],[15,30]]],""Wednesday"":[[[7,0],[15,30]]],""Tuesday"":[[[7,0],[15,30]]],""Monday"":[[[7,0],[15,30]]]},""closed"":[]}",Mon-Fri 7am-3:30pm,www.m-gsd.org,,,317-996-3720,x 4
